timestamp, temperature.gpu, power.draw [W], utilization.gpu [%], clocks.current.graphics [MHz], clocks.current.memory [MHz], clocks.current.sm [MHz], clocks_event_reasons.active
2026/05/01 20:25:38.091, 49, 1.94 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 20:25:38.597, 49, 1.94 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 20:25:39.098, 49, 1.95 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 20:25:39.607, 49, 1.95 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 20:25:40.116, 49, 1.95 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 20:25:40.624, 49, 1.95 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 20:25:41.130, 49, 1.94 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 20:25:41.633, 49, 1.94 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 20:25:42.134, 49, 1.94 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 20:25:42.635, 49, 1.94 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 20:25:43.145, 49, 1.96 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 20:25:43.651, 49, 1.96 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 20:25:44.158, 49, 1.97 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 20:25:44.660, 49, 1.97 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 20:25:45.168, 49, 1.94 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 20:25:45.674, 49, 1.94 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 20:25:46.183, 49, 1.95 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 20:25:46.688, 49, 1.95 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 20:25:47.194, 49, 1.96 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 20:25:47.698, 49, 2.02 W, 17 %, 2250 MHz, 8001 MHz, 2250 MHz, 0x0000000000000001
2026/05/01 20:25:48.200, 50, 9.90 W, 0 %, 2250 MHz, 8001 MHz, 2250 MHz, 0x0000000000000001
2026/05/01 20:25:48.701, 51, 19.41 W, 0 %, 2250 MHz, 8001 MHz, 2250 MHz, 0x0000000000000001
2026/05/01 20:25:49.211, 51, 19.41 W, 0 %, 2250 MHz, 8001 MHz, 2250 MHz, 0x0000000000000001
2026/05/01 20:25:49.719, 51, 19.57 W, 0 %, 2250 MHz, 8001 MHz, 2250 MHz, 0x0000000000000001
2026/05/01 20:25:50.219, 51, 19.57 W, 0 %, 2250 MHz, 8001 MHz, 2250 MHz, 0x0000000000000001
2026/05/01 20:25:50.726, 50, 17.00 W, 0 %, 495 MHz, 810 MHz, 495 MHz, 0x0000000000000001
2026/05/01 20:25:51.236, 50, 17.00 W, 0 %, 495 MHz, 810 MHz, 495 MHz, 0x0000000000000001
2026/05/01 20:25:51.738, 49, 10.38 W, 0 %, 315 MHz, 405 MHz, 315 MHz, 0x0000000000000001
2026/05/01 20:25:52.244, 49, 10.38 W, 0 %, 315 MHz, 405 MHz, 315 MHz, 0x0000000000000001
2026/05/01 20:25:52.747, 49, 2.90 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 20:25:53.257, 49, 2.90 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 20:25:53.768, 49, 2.00 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 20:25:54.268, 49, 2.00 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 20:25:54.778, 49, 1.96 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 20:25:55.283, 49, 1.96 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 20:25:55.785, 49, 1.95 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 20:25:56.295, 49, 1.95 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 20:25:56.799, 49, 1.95 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 20:25:57.313, 49, 1.94 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 20:25:57.825, 49, 1.94 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 20:25:58.334, 49, 1.94 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 20:25:58.847, 49, 1.94 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 20:25:59.353, 48, 1.95 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 20:25:59.867, 48, 1.95 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 20:26:00.379, 48, 1.95 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 20:26:00.892, 48, 1.95 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 20:26:01.399, 48, 1.95 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 20:26:01.901, 48, 1.95 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 20:26:02.416, 48, 1.95 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 20:26:02.927, 48, 1.95 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 20:26:03.441, 48, 1.93 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 20:26:03.955, 48, 1.93 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 20:26:04.470, 49, 1.95 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 20:26:04.972, 49, 1.95 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 20:26:05.487, 50, 19.78 W, 5 %, 2250 MHz, 8001 MHz, 2250 MHz, 0x0000000000000001
2026/05/01 20:26:06.002, 50, 19.37 W, 0 %, 2250 MHz, 8001 MHz, 2250 MHz, 0x0000000000000001
2026/05/01 20:26:06.507, 51, 20.01 W, 0 %, 2250 MHz, 8001 MHz, 2250 MHz, 0x0000000000000001
2026/05/01 20:26:07.020, 51, 19.80 W, 0 %, 2250 MHz, 8001 MHz, 2250 MHz, 0x0000000000000001
2026/05/01 20:26:07.522, 51, 18.44 W, 1 %, 2250 MHz, 7001 MHz, 2250 MHz, 0x0000000000000024
2026/05/01 20:26:08.036, 51, 20.12 W, 1 %, 2250 MHz, 8001 MHz, 2250 MHz, 0x0000000000000001
2026/05/01 20:26:08.546, 51, 19.97 W, 1 %, 2250 MHz, 8001 MHz, 2250 MHz, 0x0000000000000001
2026/05/01 20:26:09.061, 51, 19.87 W, 4 %, 2250 MHz, 8001 MHz, 2250 MHz, 0x0000000000000001
2026/05/01 20:26:09.576, 51, 20.01 W, 3 %, 2250 MHz, 8001 MHz, 2250 MHz, 0x0000000000000001
2026/05/01 20:26:10.084, 52, 19.68 W, 5 %, 2250 MHz, 8001 MHz, 2250 MHz, 0x0000000000000001
2026/05/01 20:26:10.598, 52, 18.78 W, 0 %, 2250 MHz, 7001 MHz, 2250 MHz, 0x0000000000000001
2026/05/01 20:26:11.098, 52, 18.43 W, 0 %, 2250 MHz, 8001 MHz, 2250 MHz, 0x0000000000000001
2026/05/01 20:26:11.604, 51, 10.20 W, 13 %, 630 MHz, 810 MHz, 630 MHz, 0x0000000000000001
2026/05/01 20:26:12.105, 51, 10.52 W, 52 %, 720 MHz, 810 MHz, 720 MHz, 0x0000000000000001
2026/05/01 20:26:12.615, 56, 43.48 W, 74 %, 2040 MHz, 6001 MHz, 2040 MHz, 0x0000000000000001
